22,0.276511000,00:00:00:00:00:08,00:00:00:00:00:03
29,0.282791000,00:00:00:00:00:08,00:00:00:00:00:05
65,0.308428000,00:00:00:00:00:08,00:00:00:00:00:05
70,0.312502000,00:00:00:00:00:08,00:00:00:00:00:03
90,0.514251000,00:00:00:00:00:08,00:00:00:00:00:0c
125,0.779400000,00:00:00:00:00:08,00:00:00:00:00:03
141,0.784329000,00:00:00:00:00:08,00:00:00:00:00:05
192,1.277831000,00:00:00:00:00:08,00:00:00:00:00:04
237,1.306821000,00:00:00:00:00:08,00:00:00:00:00:04
242,1.316014000,00:00:00:00:00:08,00:00:00:00:00:0c
250,1.463393000,00:00:00:00:00:08,00:00:00:00:00:03
258,1.465669000,00:00:00:00:00:08,00:00:00:00:00:04
266,1.467884000,00:00:00:00:00:08,00:00:00:00:00:04
301,2.463493000,00:00:00:00:00:08,00:00:00:00:00:03
309,2.466209000,00:00:00:00:00:08,00:00:00:00:00:04
322,2.653730000,00:00:00:00:00:08,00:00:00:00:00:05
330,2.688447000,00:00:00:00:00:08,00:00:00:00:00:05
350,2.735034000,00:00:00:00:00:08,00:00:00:00:00:04
366,3.463133000,00:00:00:00:00:08,00:00:00:00:00:04
370,3.464271000,00:00:00:00:00:08,00:00:00:00:00:05
378,3.466947000,00:00:00:00:00:08,00:00:00:00:00:03
399,4.463173000,00:00:00:00:00:08,00:00:00:00:00:04
407,4.465788000,00:00:00:00:00:08,00:00:00:00:00:05
411,4.466827000,00:00:00:00:00:08,00:00:00:00:00:03
431,5.463253000,00:00:00:00:00:08,00:00:00:00:00:03
439,5.465450000,00:00:00:00:00:08,00:00:00:00:00:05
443,5.466707000,00:00:00:00:00:08,00:00:00:00:00:04
465,6.464884000,00:00:00:00:00:08,00:00:00:00:00:04
469,6.466203000,00:00:00:00:00:08,00:00:00:00:00:03
473,6.467261000,00:00:00:00:00:08,00:00:00:00:00:05
497,7.463613000,00:00:00:00:00:08,00:00:00:00:00:05
501,7.465012000,00:00:00:00:00:08,00:00:00:00:00:03
505,7.466030000,00:00:00:00:00:08,00:00:00:00:00:04
530,8.463733000,00:00:00:00:00:08,00:00:00:00:00:03
538,8.466110000,00:00:00:00:00:08,00:00:00:00:00:05
542,8.467267000,00:00:00:00:00:08,00:00:00:00:00:04
562,9.463353000,00:00:00:00:00:08,00:00:00:00:00:03
566,9.464592000,00:00:00:00:00:08,00:00:00:00:00:04
578,9.467926000,00:00:00:00:00:08,00:00:00:00:00:05
596,10.463253000,00:00:00:00:00:08,00:00:00:00:00:04
600,10.464611000,00:00:00:00:00:08,00:00:00:00:00:05
608,10.466887000,00:00:00:00:00:08,00:00:00:00:00:03
629,11.464124000,00:00:00:00:00:08,00:00:00:00:00:04
637,11.467140000,00:00:00:00:00:08,00:00:00:00:00:03
645,11.470257000,00:00:00:00:00:08,00:00:00:00:00:05
662,12.463273000,00:00:00:00:00:08,00:00:00:00:00:04
670,12.466009000,00:00:00:00:00:08,00:00:00:00:00:03
674,12.467167000,00:00:00:00:00:08,00:00:00:00:00:05
697,13.463593000,00:00:00:00:00:08,00:00:00:00:00:04
701,13.464731000,00:00:00:00:00:08,00:00:00:00:00:03
713,13.469346000,00:00:00:00:00:08,00:00:00:00:00:05
729,14.463233000,00:00:00:00:00:08,00:00:00:00:00:03
737,14.465630000,00:00:00:00:00:08,00:00:00:00:00:05
745,14.468085000,00:00:00:00:00:08,00:00:00:00:00:04
763,15.464510000,00:00:00:00:00:08,00:00:00:00:00:05
771,15.467346000,00:00:00:00:00:08,00:00:00:00:00:03
779,15.469922000,00:00:00:00:00:08,00:00:00:00:00:04
796,16.463253000,00:00:00:00:00:08,00:00:00:00:00:05
804,16.465948000,00:00:00:00:00:08,00:00:00:00:00:04
808,16.467087000,00:00:00:00:00:08,00:00:00:00:00:03
828,17.463133000,00:00:00:00:00:08,00:00:00:00:00:05
832,17.464211000,00:00:00:00:00:08,00:00:00:00:00:04
836,17.465489000,00:00:00:00:00:08,00:00:00:00:00:03
861,18.463473000,00:00:00:00:00:08,00:00:00:00:00:04
865,18.464671000,00:00:00:00:00:08,00:00:00:00:00:03
873,18.467147000,00:00:00:00:00:08,00:00:00:00:00:05
895,19.463593000,00:00:00:00:00:08,00:00:00:00:00:03
899,19.464792000,00:00:00:00:00:08,00:00:00:00:00:05
903,19.466070000,00:00:00:00:00:08,00:00:00:00:00:04
927,20.463253000,00:00:00:00:00:08,00:00:00:00:00:03
935,20.465410000,00:00:00:00:00:08,00:00:00:00:00:05
939,20.466427000,00:00:00:00:00:08,00:00:00:00:00:04
959,21.463333000,00:00:00:00:00:08,00:00:00:00:00:04
967,21.467406000,00:00:00:00:00:08,00:00:00:00:00:03
975,21.469702000,00:00:00:00:00:08,00:00:00:00:00:05
991,22.464624000,00:00:00:00:00:08,00:00:00:00:00:04
999,22.467540000,00:00:00:00:00:08,00:00:00:00:00:05
1007,22.470356000,00:00:00:00:00:08,00:00:00:00:00:03
1024,23.463533000,00:00:00:00:00:08,00:00:00:00:00:03
1032,23.465749000,00:00:00:00:00:08,00:00:00:00:00:04
1036,23.467107000,00:00:00:00:00:08,00:00:00:00:00:05
1060,24.464924000,00:00:00:00:00:08,00:00:00:00:00:04
1068,24.470977000,00:00:00:00:00:08,00:00:00:00:00:05
1076,24.473873000,00:00:00:00:00:08,00:00:00:00:00:03
1097,25.463153000,00:00:00:00:00:08,00:00:00:00:00:03
1105,25.465769000,00:00:00:00:00:08,00:00:00:00:00:04
1113,25.468064000,00:00:00:00:00:08,00:00:00:00:00:05
1130,26.463133000,00:00:00:00:00:08,00:00:00:00:00:04
1138,26.465808000,00:00:00:00:00:08,00:00:00:00:00:05
1142,26.466947000,00:00:00:00:00:08,00:00:00:00:00:03
1163,27.463213000,00:00:00:00:00:08,00:00:00:00:00:04
1171,27.466746000,00:00:00:00:00:08,00:00:00:00:00:03
1179,27.472962000,00:00:00:00:00:08,00:00:00:00:00:05
1198,28.463153000,00:00:00:00:00:08,00:00:00:00:00:05
1202,28.464251000,00:00:00:00:00:08,00:00:00:00:00:04
1214,28.468006000,00:00:00:00:00:08,00:00:00:00:00:03
1232,29.463713000,00:00:00:00:00:08,00:00:00:00:00:05
1240,29.465889000,00:00:00:00:00:08,00:00:00:00:00:03
1244,29.466968000,00:00:00:00:00:08,00:00:00:00:00:04
1264,30.463553000,00:00:00:00:00:08,00:00:00:00:00:03
1268,30.464632000,00:00:00:00:00:08,00:00:00:00:00:05
1276,30.467227000,00:00:00:00:00:08,00:00:00:00:00:04
1297,31.463533000,00:00:00:00:00:08,00:00:00:00:00:04
1305,31.468666000,00:00:00:00:00:08,00:00:00:00:00:03
1309,31.469684000,00:00:00:00:00:08,00:00:00:00:00:05
1329,32.463453000,00:00:00:00:00:08,00:00:00:00:00:03
1333,32.464812000,00:00:00:00:00:08,00:00:00:00:00:05
1341,32.467247000,00:00:00:00:00:08,00:00:00:00:00:04
1362,33.463653000,00:00:00:00:00:08,00:00:00:00:00:05
1370,33.466328000,00:00:00:00:00:08,00:00:00:00:00:04
1378,33.469564000,00:00:00:00:00:08,00:00:00:00:00:03
1394,34.463333000,00:00:00:00:00:08,00:00:00:00:00:03
1402,34.466050000,00:00:00:00:00:08,00:00:00:00:00:05
1410,34.468345000,00:00:00:00:00:08,00:00:00:00:00:04
1426,35.463873000,00:00:00:00:00:08,00:00:00:00:00:05
1430,35.464892000,00:00:00:00:00:08,00:00:00:00:00:03
1438,35.467168000,00:00:00:00:00:08,00:00:00:00:00:04
1458,36.464370000,00:00:00:00:00:08,00:00:00:00:00:05
1466,36.466925000,00:00:00:00:00:08,00:00:00:00:00:04
1474,36.469461000,00:00:00:00:00:08,00:00:00:00:00:03
1490,37.463293000,00:00:00:00:00:08,00:00:00:00:00:05
1494,37.464492000,00:00:00:00:00:08,00:00:00:00:00:03
1506,37.468347000,00:00:00:00:00:08,00:00:00:00:00:04
1523,38.463153000,00:00:00:00:00:08,00:00:00:00:00:03
1527,38.464712000,00:00:00:00:00:08,00:00:00:00:00:05
1535,38.467347000,00:00:00:00:00:08,00:00:00:00:00:04
1555,39.463193000,00:00:00:00:00:08,00:00:00:00:00:04
1563,39.467626000,00:00:00:00:00:08,00:00:00:00:00:03
1571,39.470262000,00:00:00:00:00:08,00:00:00:00:00:05
1587,40.463413000,00:00:00:00:00:08,00:00:00:00:00:05
1595,40.465868000,00:00:00:00:00:08,00:00:00:00:00:04
1599,40.467027000,00:00:00:00:00:08,00:00:00:00:00:03
1619,41.463133000,00:00:00:00:00:08,00:00:00:00:00:03
1627,41.465790000,00:00:00:00:00:08,00:00:00:00:00:05
1635,41.468285000,00:00:00:00:00:08,00:00:00:00:00:04
1652,42.463553000,00:00:00:00:00:08,00:00:00:00:00:04
1660,42.466905000,00:00:00:00:00:08,00:00:00:00:00:05
1668,42.470761000,00:00:00:00:00:08,00:00:00:00:00:03
1684,43.463153000,00:00:00:00:00:08,00:00:00:00:00:04
1688,43.465068000,00:00:00:00:00:08,00:00:00:00:00:03
1700,43.469943000,00:00:00:00:00:08,00:00:00:00:00:05
1716,44.463153000,00:00:00:00:00:08,00:00:00:00:00:04
1724,44.465748000,00:00:00:00:00:08,00:00:00:00:00:05
1732,44.467924000,00:00:00:00:00:08,00:00:00:00:00:03
1749,45.463533000,00:00:00:00:00:08,00:00:00:00:00:04
1757,45.465848000,00:00:00:00:00:08,00:00:00:00:00:05
1761,45.467007000,00:00:00:00:00:08,00:00:00:00:00:03
1782,46.463313000,00:00:00:00:00:08,00:00:00:00:00:03
1786,46.464452000,00:00:00:00:00:08,00:00:00:00:00:05
1798,46.468126000,00:00:00:00:00:08,00:00:00:00:00:04
1815,47.464390000,00:00:00:00:00:08,00:00:00:00:00:05
1823,47.466885000,00:00:00:00:00:08,00:00:00:00:00:04
1831,47.470301000,00:00:00:00:00:08,00:00:00:00:00:03
1848,48.464133000,00:00:00:00:00:08,00:00:00:00:00:04
1856,48.469917000,00:00:00:00:00:08,00:00:00:00:00:05
1864,48.476073000,00:00:00:00:00:08,00:00:00:00:00:03
1880,49.464544000,00:00:00:00:00:08,00:00:00:00:00:04
1884,49.465763000,00:00:00:00:00:08,00:00:00:00:00:03
1896,49.470498000,00:00:00:00:00:08,00:00:00:00:00:05
1912,50.463513000,00:00:00:00:00:08,00:00:00:00:00:04
1916,50.464631000,00:00:00:00:00:08,00:00:00:00:00:03
1928,50.468166000,00:00:00:00:00:08,00:00:00:00:00:05
1945,51.463213000,00:00:00:00:00:08,00:00:00:00:00:04
1953,51.465809000,00:00:00:00:00:08,00:00:00:00:00:03
1961,51.467925000,00:00:00:00:00:08,00:00:00:00:00:05
1978,52.463393000,00:00:00:00:00:08,00:00:00:00:00:04
1986,52.467340000,00:00:00:00:00:08,00:00:00:00:00:05
1994,52.470136000,00:00:00:00:00:08,00:00:00:00:00:03
2010,53.463433000,00:00:00:00:00:08,00:00:00:00:00:04
2018,53.465968000,00:00:00:00:00:08,00:00:00:00:00:05
2022,53.466987000,00:00:00:00:00:08,00:00:00:00:00:03
2044,54.463813000,00:00:00:00:00:08,00:00:00:00:00:05
2052,54.465849000,00:00:00:00:00:08,00:00:00:00:00:03
2060,54.468345000,00:00:00:00:00:08,00:00:00:00:00:04
2077,55.463633000,00:00:00:00:00:08,00:00:00:00:00:03
2085,55.465789000,00:00:00:00:00:08,00:00:00:00:00:04
2089,55.467067000,00:00:00:00:00:08,00:00:00:00:00:05
2110,56.463133000,00:00:00:00:00:08,00:00:00:00:00:03
2118,56.465550000,00:00:00:00:00:08,00:00:00:00:00:05
2122,56.466767000,00:00:00:00:00:08,00:00:00:00:00:04
2142,57.463333000,00:00:00:00:00:08,00:00:00:00:00:04
2150,57.466228000,00:00:00:00:00:08,00:00:00:00:00:05
2158,57.469144000,00:00:00:00:00:08,00:00:00:00:00:03
2174,58.463313000,00:00:00:00:00:08,00:00:00:00:00:04
2182,58.467505000,00:00:00:00:00:08,00:00:00:00:00:05
2190,58.470361000,00:00:00:00:00:08,00:00:00:00:00:03
2206,59.463273000,00:00:00:00:00:08,00:00:00:00:00:03
2214,59.465609000,00:00:00:00:00:08,00:00:00:00:00:04
2222,59.469264000,00:00:00:00:00:08,00:00:00:00:00:05
2239,60.463493000,00:00:00:00:00:08,00:00:00:00:00:05
2247,60.466029000,00:00:00:00:00:08,00:00:00:00:00:03
2255,60.468245000,00:00:00:00:00:08,00:00:00:00:00:04
2271,61.463153000,00:00:00:00:00:08,00:00:00:00:00:05
2275,61.464171000,00:00:00:00:00:08,00:00:00:00:00:04
2283,61.466967000,00:00:00:00:00:08,00:00:00:00:00:03
2304,62.463984000,00:00:00:00:00:08,00:00:00:00:00:04
2308,62.465503000,00:00:00:00:00:08,00:00:00:00:00:03
2320,62.469698000,00:00:00:00:00:08,00:00:00:00:00:05
2337,63.463133000,00:00:00:00:00:08,00:00:00:00:00:04
2345,63.467265000,00:00:00:00:00:08,00:00:00:00:00:05
2353,63.469501000,00:00:00:00:00:08,00:00:00:00:00:03
2370,64.463233000,00:00:00:00:00:08,00:00:00:00:00:04
2378,64.466361000,00:00:00:00:00:08,00:00:00:00:00:03
2386,64.468818000,00:00:00:00:00:08,00:00:00:00:00:05
2403,65.463213000,00:00:00:00:00:08,00:00:00:00:00:04
2411,65.465848000,00:00:00:00:00:08,00:00:00:00:00:05
2415,65.467147000,00:00:00:00:00:08,00:00:00:00:00:03
2435,66.463333000,00:00:00:00:00:08,00:00:00:00:00:03
2443,66.465649000,00:00:00:00:00:08,00:00:00:00:00:04
2451,66.467884000,00:00:00:00:00:08,00:00:00:00:00:05
2467,67.463773000,00:00:00:00:00:08,00:00:00:00:00:04
2475,67.467840000,00:00:00:00:00:08,00:00:00:00:00:05
2483,67.470976000,00:00:00:00:00:08,00:00:00:00:00:03
2500,68.463893000,00:00:00:00:00:08,00:00:00:00:00:05
2504,68.464932000,00:00:00:00:00:08,00:00:00:00:00:03
2512,68.467208000,00:00:00:00:00:08,00:00:00:00:00:04
2533,69.464444000,00:00:00:00:00:08,00:00:00:00:00:04
2541,69.466920000,00:00:00:00:00:08,00:00:00:00:00:05
2549,69.469936000,00:00:00:00:00:08,00:00:00:00:00:03
2567,70.463493000,00:00:00:00:00:08,00:00:00:00:00:03
2571,70.464592000,00:00:00:00:00:08,00:00:00:00:00:04
2575,70.465689000,00:00:00:00:00:08,00:00:00:00:00:05
2599,71.463753000,00:00:00:00:00:08,00:00:00:00:00:04
2607,71.467261000,00:00:00:00:00:08,00:00:00:00:00:03
2611,71.468700000,00:00:00:00:00:08,00:00:00:00:00:05
2631,72.464731000,00:00:00:00:00:08,00:00:00:00:00:03
2635,72.465750000,00:00:00:00:00:08,00:00:00:00:00:05
2647,72.470544000,00:00:00:00:00:08,00:00:00:00:00:04
2663,73.463553000,00:00:00:00:00:08,00:00:00:00:00:03
2667,73.464592000,00:00:00:00:00:08,00:00:00:00:00:05
