frame.number,frame.time_relative,wlan.ta,wlan.ra
73264,280.754163000,00:00:00:00:00:32,00:00:00:00:00:08
73278,280.765908000,00:00:00:00:00:32,00:00:00:00:00:08
73287,280.771984000,00:00:00:00:00:32,00:00:00:00:00:08
73288,280.773661000,00:00:00:00:00:32,00:00:00:00:00:08
73289,280.776318000,00:00:00:00:00:32,00:00:00:00:00:08
73297,280.786819000,00:00:00:00:00:32,00:00:00:00:00:08
73311,280.831819000,00:00:00:00:00:32,00:00:00:00:00:08
73322,280.870984000,00:00:00:00:00:32,00:00:00:00:00:08
73331,280.882819000,00:00:00:00:00:32,00:00:00:00:00:08
73337,280.885819000,00:00:00:00:00:32,00:00:00:00:00:08
73338,280.886836000,00:00:00:00:00:32,00:00:00:00:00:08
73345,280.904984000,00:00:00:00:00:32,00:00:00:00:00:08
73352,280.915819000,00:00:00:00:00:32,00:00:00:00:00:08
73361,280.929984000,00:00:00:00:00:32,00:00:00:00:00:08
73376,280.967984000,00:00:00:00:00:32,00:00:00:00:00:08
73383,280.971819000,00:00:00:00:00:32,00:00:00:00:00:08
73384,280.973496000,00:00:00:00:00:32,00:00:00:00:00:08
73401,281.032819000,00:00:00:00:00:32,00:00:00:00:00:08
73413,281.066984000,00:00:00:00:00:32,00:00:00:00:00:08
73428,281.120819000,00:00:00:00:00:32,00:00:00:00:00:08
73440,281.163645000,00:00:00:00:00:32,00:00:00:00:00:08
73452,281.204876000,00:00:00:00:00:32,00:00:00:00:00:08
73461,281.214984000,00:00:00:00:00:32,00:00:00:00:00:08
73467,281.225819000,00:00:00:00:00:32,00:00:00:00:00:08
73477,281.245984000,00:00:00:00:00:32,00:00:00:00:00:08
73490,281.292819000,00:00:00:00:00:32,00:00:00:00:00:08
73498,281.307984000,00:00:00:00:00:32,00:00:00:00:00:08
73499,281.308701000,00:00:00:00:00:32,00:00:00:00:00:08
73514,281.343984000,00:00:00:00:00:32,00:00:00:00:00:08
73524,281.364819000,00:00:00:00:00:32,00:00:00:00:00:08
73531,281.371984000,00:00:00:00:00:32,00:00:00:00:00:08
73538,281.378984000,00:00:00:00:00:32,00:00:00:00:00:08
73550,281.411984000,00:00:00:00:00:32,00:00:00:00:00:08
73559,281.440819000,00:00:00:00:00:32,00:00:00:00:00:08
73575,281.500984000,00:00:00:00:00:32,00:00:00:00:00:08
73582,281.506464000,00:00:00:00:00:32,00:00:00:00:00:08
73629,281.765819000,00:00:00:00:00:32,00:00:00:00:00:08
73816,282.765819000,00:00:00:00:00:32,00:00:00:00:00:08
73994,283.765819000,00:00:00:00:00:32,00:00:00:00:00:08
74189,284.765819000,00:00:00:00:00:32,00:00:00:00:00:08
74365,285.767256000,00:00:00:00:00:32,00:00:00:00:00:08
74537,286.767336000,00:00:00:00:00:32,00:00:00:00:00:08
74715,287.766537000,00:00:00:00:00:32,00:00:00:00:00:08
74891,288.765819000,00:00:00:00:00:32,00:00:00:00:00:08
75038,289.765819000,00:00:00:00:00:32,00:00:00:00:00:08
75151,290.766426000,00:00:00:00:00:32,00:00:00:00:00:08
75249,291.766513000,00:00:00:00:00:32,00:00:00:00:00:08
75358,292.765819000,00:00:00:00:00:32,00:00:00:00:00:08
