25517,369.467500000,,
25518,369.468217000,,
25519,369.469636000,,
25529,369.474459000,,
25577,370.467500000,,
25578,370.468497000,,
25579,370.470056000,,
25587,370.473862000,,
25637,371.467500000,,
25638,371.468384000,,
25648,371.473068000,,
25696,372.467500000,,
25697,372.468857000,,
25702,372.472290000,,
25706,372.473636000,,
25756,373.467500000,,
25757,373.468477000,,
25767,373.473516000,,
25816,374.467500000,,
25819,374.469415000,,
25825,374.472099000,,
25875,375.467500000,,
25876,375.468217000,,
25877,375.469256000,,
25885,375.473502000,,
25935,376.467500000,,
25936,376.468704000,,
25942,376.471212000,,
25943,376.473609000,,
25995,377.467500000,,
25996,377.468297000,,
26001,377.472097000,,
26007,377.475105000,,
26055,378.467500000,,
26056,378.468637000,,
26057,378.469716000,,
26067,378.474979000,,
26115,379.467500000,,
26116,379.468804000,,
26122,379.470992000,,
26125,379.474447000,,
26174,380.467500000,,
26175,380.468337000,,
26176,380.469336000,,
26182,380.472283000,,
26234,381.467500000,,
26235,381.468337000,,
26245,381.473017000,,
26293,382.467500000,,
26298,382.470839000,,
26304,382.473047000,,
26352,383.467500000,,
26355,383.470135000,,
26358,383.472004000,,
26362,383.473410000,,
26411,384.467500000,,
26416,384.471199000,,
26420,384.472150000,,
26469,385.467500000,,
26470,385.468357000,,
26471,385.469696000,,
26477,385.472343000,,
26482,385.477816000,,
26530,386.467500000,,
26531,386.468257000,,
26537,386.470821000,,
26589,387.467500000,,
26590,387.468697000,,
26596,387.471160000,,
26648,388.467500000,,
26649,388.468944000,,
26655,388.470952000,,
26658,388.473707000,,
26708,389.467500000,,
26709,389.468464000,,
26717,389.471530000,,
26767,390.467500000,,
26768,390.468764000,,
26772,390.469694000,,
26826,391.467500000,,
26827,391.468364000,,
26831,391.469434000,,
26838,391.474000000,,
26886,392.467500000,,
26887,392.469084000,,
26893,392.470973000,,
26945,393.467500000,,
26946,393.468684000,,
26950,393.469694000,,
26953,393.472844000,,
26958,393.478077000,,
27006,394.467500000,,
27007,394.468317000,,
27008,394.469394000,,
27014,394.472017000,,
27066,395.467500000,,
27071,395.471032000,,
27077,395.473496000,,
27125,396.467500000,,
27126,396.468157000,,
27132,396.470720000,,
27184,397.467500000,,
27187,397.469535000,,
27195,397.473358000,,
27243,398.467500000,,
27244,398.468324000,,
27254,398.473088000,,
27302,399.467500000,,
27303,399.468444000,,
27309,399.471152000,,
27361,400.467500000,,
27362,400.469257000,,
27363,400.469936000,,
27367,400.470786000,,
27421,401.467500000,,
27422,401.468657000,,
27423,401.469676000,,
27429,401.471743000,,
27481,402.467500000,,
27482,402.468324000,,
27486,402.469494000,,
27489,402.471544000,,
27541,403.467500000,,
27542,403.468704000,,
27546,403.469534000,,
27600,404.467500000,,
27601,404.468137000,,
27605,404.469703000,,
27608,404.473012000,,
27660,405.467500000,,
27661,405.468784000,,
27662,405.469634000,,
27670,405.474376000,,
27720,406.467500000,,
27721,406.468217000,,
27722,406.469414000,,
27728,406.472077000,,
27780,407.467500000,,
27781,407.468397000,,
27789,407.472318000,,
27839,408.467500000,,
27842,408.469315000,,
27850,408.472918000,,
27898,409.467500000,,
27899,409.468404000,,
27903,409.469494000,,
27906,409.472584000,,
27911,409.479717000,,
27959,410.467500000,,
27962,410.470022000,,
27968,410.471970000,,
28018,411.467500000,,
28023,411.470212000,,
28027,411.471619000,,
28077,412.467500000,,
28078,412.468217000,,
28086,412.472238000,,
28136,413.467500000,,
28141,413.470392000,,
28145,413.471679000,,
28195,414.467500000,,
28196,414.468757000,,
28197,414.469716000,,
28203,414.472243000,,
28255,415.467500000,,
28256,415.469124000,,
28257,415.469834000,,
28267,415.475255000,,
28315,416.467500000,,
28316,416.468664000,,
28322,416.471012000,,
28323,416.471909000,,
28375,417.467500000,,
28376,417.468297000,,
28386,417.473376000,,
28434,418.467500000,,
28435,418.468857000,,
28436,418.469836000,,
28442,418.472403000,,
28443,418.473400000,,
28495,419.467500000,,
28496,419.468357000,,
28497,419.469936000,,
28507,419.475161000,,
28555,420.467500000,,
28560,420.470852000,,
28566,420.473556000,,
28620,421.470104000,,
28629,421.474072000,,
28685,422.467500000,,
28688,422.469382000,,
28692,422.470372000,,
28744,423.467500000,,
28745,423.468324000,,
28749,423.469154000,,
28803,424.467500000,,
28806,424.469355000,,
28812,424.471719000,,
28862,425.467500000,,
28863,425.468597000,,
28864,425.469816000,,
28870,425.473343000,,
28871,425.475100000,,
28923,426.467500000,,
28924,426.468504000,,
28930,426.470772000,,
28982,427.467500000,,
28983,427.468724000,,
28989,427.470852000,,
28994,427.475265000,,
29042,428.467500000,,
29047,428.471092000,,
29051,428.472359000,,
29101,429.467500000,,
29102,429.468624000,,
29106,429.469534000,,
29160,430.467500000,,
29161,430.468277000,,
29170,430.473436000,,
29218,431.467500000,,
29219,431.468297000,,
29229,431.473396000,,
29277,432.467500000,,
29282,432.471092000,,
29288,432.473376000,,
29336,433.467500000,,
29337,433.468297000,,
29345,433.472358000,,
29395,434.467500000,,
29396,434.468197000,,
29397,434.469036000,,
29403,434.471083000,,
29455,435.467500000,,
29456,435.468777000,,
29459,435.471079000,,
29465,435.473147000,,
29515,436.467500000,,
29518,436.469215000,,
29526,436.473018000,,
29574,437.467500000,,
29575,437.468344000,,
29579,437.469294000,,
29633,438.467500000,,
29634,438.468844000,,
29638,438.469874000,,
29693,439.467500000,,
29694,439.468597000,,
29700,439.471061000,,
29752,440.467500000,,
29753,440.468557000,,
29761,440.472358000,,
29811,441.467500000,,
29812,441.468524000,,
29818,441.470673000,,
29870,442.467500000,,
29871,442.468404000,,
29881,442.472928000,,
29928,443.467500000,,
29929,443.468277000,,
29935,443.470840000,,
29987,444.467500000,,
29988,444.468237000,,
29997,444.475636000,,
30046,445.467500000,,
30047,445.468584000,,
30051,445.469814000,,
30105,446.467500000,,
30106,446.468944000,,
30114,446.471970000,,
30116,446.475149000,,
30164,447.467500000,,
30167,447.469902000,,
30173,447.471970000,,
30223,448.467500000,,
30228,448.470992000,,
30232,448.472279000,,
30282,449.467500000,,
30283,449.468397000,,
30289,449.471460000,,
30343,450.467500000,,
30344,450.468484000,,
30352,450.472010000,,
30402,451.467500000,,
30403,451.468684000,,
30409,451.471132000,,
30414,451.475405000,,
30467,452.467500000,,
30468,452.468404000,,
30474,452.471192000,,
30479,452.474505000,,
30527,453.467500000,,
30528,453.468344000,,
30532,453.469274000,,
30534,453.470612000,,
30535,453.471869000,,
30587,454.467500000,,
30588,454.468737000,,
30589,454.469676000,,
30595,454.473063000,,
30647,455.467500000,,
30648,455.468704000,,
30654,455.470592000,,
30706,456.467500000,,
30711,456.470712000,,
30715,456.472079000,,
30765,457.467500000,,
30768,457.469702000,,
30772,457.470852000,,
30824,458.467500000,,
30825,458.468297000,,
30831,458.470660000,,
30883,459.467500000,,
30884,459.468924000,,
30890,459.470852000,,
30942,460.467500000,,
30943,460.468344000,,
30949,460.470452000,,
30950,460.471269000,,
31002,461.467500000,,
31003,461.468317000,,
31011,461.472338000,,
31060,462.467500000,,
31063,462.469875000,,
31067,462.471301000,,
31119,463.467500000,,
31124,463.470752000,,
31128,463.472199000,,
31178,464.467500000,,
31179,464.468197000,,
31183,464.469423000,,
31237,465.467500000,,
31240,465.469582000,,
31246,465.471930000,,
31296,466.467500000,,
31297,466.468504000,,
31301,466.469354000,,
31355,467.467500000,,
31356,467.468644000,,
31362,467.471012000,,
31367,467.475865000,,
31424,468.467500000,,
31425,468.468757000,,
31426,468.469576000,,
31436,468.475379000,,
31484,469.467500000,,
31485,469.468677000,,
31491,469.471081000,,
31543,470.467500000,,
31546,470.469482000,,
31554,470.473009000,,
31602,471.467500000,,
31603,471.468877000,,
31611,471.472438000,,
31661,472.467500000,,
31662,472.468977000,,
31663,472.469856000,,
31671,472.473462000,,
31721,473.467500000,,
31722,473.468317000,,
31728,473.470840000,,
31780,474.467500000,,
31785,474.470832000,,
31791,474.473516000,,
31839,475.467500000,,
31840,475.468724000,,
31844,475.469674000,,
31851,475.475460000,,
31899,476.467500000,,
31900,476.468977000,,
31908,476.472378000,,
31958,477.467500000,,
31959,477.468237000,,
31969,477.473196000,,
32017,478.467500000,,
32018,478.468757000,,
32019,478.469574000,,
32025,478.471878000,,
32078,479.467500000,,
32079,479.468844000,,
32085,479.470832000,,
32137,480.467500000,,
32138,480.468577000,,
32139,480.469636000,,
32143,480.470806000,,
32150,480.478312000,,
32198,481.467500000,,
32199,481.468237000,,
32207,481.471758000,,
32257,482.467500000,,
32258,482.468524000,,
32262,482.469774000,,
32316,483.467500000,,
32317,483.468704000,,
32325,483.472070000,,
32386,484.467500000,,
32387,484.468757000,,
32388,484.469896000,,
32394,484.473003000,,
32444,485.452400000,,
32452,485.467500000,,
32453,485.468724000,,
32459,485.470692000,,
32501,485.923044000,,
32514,486.218557000,,
32548,486.423462000,,
32570,486.467500000,,
32575,486.470672000,,
32581,486.473056000,,
32645,487.467500000,,
32650,487.471052000,,
32654,487.472439000,,
32720,488.467500000,,
32725,488.470712000,,
32731,488.473556000,,
32795,489.467500000,,
32796,489.468664000,,
32806,489.472969000,,
32869,490.467500000,,
32870,490.468337000,,
32876,490.471001000,,
32943,491.467500000,,
32944,491.468317000,,
32953,491.473637000,,
33017,492.467500000,,
33018,492.468397000,,
33022,492.469963000,,
33092,493.467500000,,
33093,493.468157000,,
33101,493.472158000,,
33166,494.467500000,,
33167,494.468357000,,
33177,494.473297000,,
33236,495.467500000,,
33237,495.468257000,,
33247,495.473436000,,
33307,496.467500000,,
33308,496.468137000,,
33312,496.469483000,,
23,0.520337000,,
28,0.529517000,,
73,0.589930000,,
78,0.600043000,,
102,0.780531000,,
112,0.787991000,,
170,1.278034000,,
200,1.463209000,,
208,1.466245000,,
221,1.521658000,,
229,1.541452000,,
257,1.792784000,,
265,1.795037000,,
274,1.798328000,,
293,2.463229000,,
301,2.466025000,,
314,2.653766000,,
322,2.697383000,,
346,2.735917000,,
359,3.464009000,,
367,3.468237000,,
375,3.470674000,,
391,4.464300000,,
399,4.467116000,,
407,4.469912000,,
426,5.463149000,,
430,5.464488000,,
434,5.465565000,,
458,6.463309000,,
466,6.465605000,,
470,6.466804000,,
490,7.463349000,,
494,7.464368000,,
498,7.465525000,,
523,8.463649000,,
527,8.464848000,,
535,8.467064000,,
556,9.463449000,,
560,9.464688000,,
568,9.466983000,,
588,10.463349000,,
596,10.465424000,,
604,10.467680000,,
621,11.463189000,,
629,11.467681000,,
637,11.470577000,,
653,12.463209000,,
657,12.464507000,,
665,12.466683000,,
685,13.463469000,,
693,13.466046000,,
697,13.467143000,,
717,14.463129000,,
725,14.465845000,,
733,14.468221000,,
750,15.463069000,,
758,15.465785000,,
766,15.470561000,,
782,16.463549000,,
786,16.464668000,,
790,16.465886000,,
816,17.463429000,,
824,17.466837000,,
828,17.467856000,,
848,18.463449000,,
856,18.469694000,,
864,18.475590000,,
881,19.463209000,,
889,19.465724000,,
893,19.466943000,,
914,20.463209000,,
922,20.466942000,,
926,20.468240000,,
946,21.463429000,,
950,21.464728000,,
962,21.468263000,,
980,22.463149000,,
984,22.464247000,,
996,22.468042000,,
1012,23.464140000,,
1020,23.467073000,,
1028,23.473650000,,
1044,24.463789000,,
1048,24.464827000,,
1056,24.467043000,,
1078,25.463349000,,
1086,25.465586000,,
1094,25.467821000,,
1111,26.463129000,,
1115,26.464167000,,
1127,26.468102000,,
1144,27.463489000,,
1152,27.466996000,,
1160,27.469732000,,
1178,28.463129000,,
1182,28.464147000,,
1194,28.467982000,,
1210,29.463169000,,
1214,29.464208000,,
1226,29.467922000,,
1243,30.464080000,,
1251,30.467016000,,
1259,30.470252000,,
1275,31.464780000,,
1279,31.465858000,,
1291,31.470933000,,
1309,32.464400000,,
1317,32.468933000,,
1325,32.474169000,,
1342,33.463089000,,
1350,33.465764000,,
1358,33.468080000,,
1376,34.463129000,,
1384,34.465484000,,
1392,34.467740000,,
1409,35.463789000,,
1413,35.464847000,,
1417,35.466065000,,
1442,36.463109000,,
1446,36.464408000,,
1450,36.465465000,,
1474,37.463389000,,
1478,37.464888000,,
1486,37.467084000,,
1510,38.463089000,,
1518,38.465746000,,
1526,38.468081000,,
1542,39.463389000,,
1550,39.467961000,,
1558,39.470697000,,
1575,40.463549000,,
1583,40.466722000,,
1591,40.469838000,,
1607,41.463089000,,
1615,41.465825000,,
1619,41.466843000,,
1639,42.463109000,,
1647,42.465905000,,
1655,42.468541000,,
1671,43.463089000,,
1675,43.464287000,,
1687,43.467882000,,
1703,44.463089000,,
1711,44.466026000,,
1715,44.467083000,,
1736,45.463549000,,
1740,45.465007000,,
1744,45.466085000,,
1768,46.463729000,,
1776,46.467097000,,
1784,46.469594000,,
1801,47.463149000,,
1809,47.465424000,,
1813,47.466743000,,
1834,48.463209000,,
1838,48.464407000,,
1846,48.466963000,,
1867,49.463389000,,
1875,49.467561000,,
1883,49.470717000,,
1899,50.463169000,,
1903,50.464207000,,
1915,50.467922000,,
1931,51.463189000,,
1939,51.468057000,,
1943,51.469336000,,
1963,52.463229000,,
1971,52.465865000,,
1979,52.468101000,,
1995,53.463669000,,
1999,53.464707000,,
2007,53.466943000,,
2027,54.463549000,,
2035,54.465885000,,
2043,54.468101000,,
2060,55.463849000,,
2064,55.464967000,,
2068,55.466026000,,
2093,56.464526000,,
2101,56.466881000,,
2109,56.469897000,,
2126,57.463449000,,
2130,57.464507000,,
2138,57.466583000,,
2158,58.463969000,,
2162,58.465068000,,
2166,58.466266000,,
2191,59.463269000,,
2199,59.466005000,,
2203,59.467164000,,
2223,60.463329000,,
2231,60.465585000,,
2235,60.466863000,,
2256,61.463069000,,
2264,61.465806000,,
2272,61.469261000,,
2289,62.463129000,,
2297,62.465945000,,
2305,62.468081000,,
2322,63.463069000,,
2330,63.467877000,,
2334,63.469035000,,
2355,64.463169000,,
2359,64.464348000,,
2367,64.466503000,,
2388,65.463369000,,
2396,65.465845000,,
2404,65.468161000,,
2422,66.463509000,,
2430,66.466025000,,
2434,66.467083000,,
2455,67.463209000,,
2463,67.465825000,,
2471,67.468640000,,
2488,68.463989000,,
2492,68.465028000,,
2504,68.468263000,,
2520,69.463809000,,
2524,69.464867000,,
2528,69.465925000,,
2553,70.463689000,,
2561,70.465844000,,
2565,70.467043000,,
2585,71.463529000,,
2593,71.467902000,,
2601,71.470498000,,
2617,72.463069000,,
2625,72.465444000,,
2629,72.466563000,,
2649,73.463069000,,
2657,73.465785000,,
2665,73.468081000,,
2682,74.463449000,,
2690,74.471959000,,
2698,74.475995000,,
2714,75.463089000,,
2722,75.465165000,,
2730,75.468060000,,
2747,76.464446000,,
2751,76.465544000,,
2763,76.469979000,,
2780,77.463269000,,
2788,77.465565000,,
2792,77.466683000,,
2812,78.463109000,,
2820,78.465685000,,
2824,78.466844000,,
2846,79.464420000,,
2850,79.465558000,,
2862,79.469813000,,
2879,80.463229000,,
2887,80.465445000,,
2895,80.467760000,,
2911,81.463449000,,
2919,81.465724000,,
2923,81.466863000,,
2944,82.463149000,,
2952,82.465525000,,
2956,82.466804000,,
2976,83.463940000,,
2980,83.465099000,,
2992,83.469574000,,
3008,84.463189000,,
3012,84.464608000,,
3024,84.468522000,,
3040,85.463429000,,
3044,85.464468000,,
3052,85.466544000,,
3072,86.463309000,,
3076,86.464688000,,
3084,86.467083000,,
3106,87.463069000,,
3114,87.465944000,,
3122,87.470500000,,
3139,88.464620000,,
3143,88.465639000,,
3155,88.469894000,,
3171,89.463229000,,
3179,89.465425000,,
3187,89.467841000,,
3204,90.463149000,,
3208,90.464488000,,
3212,90.465746000,,
3236,91.463209000,,
3240,91.464248000,,
3248,91.466623000,,
3269,92.464000000,,
3277,92.477430000,,
3281,92.478568000,,
3301,93.463309000,,
3309,93.465986000,,
3317,93.468161000,,
3334,94.463129000,,
3342,94.465665000,,
3350,94.468040000,,
3366,95.463409000,,
3370,95.464468000,,
3378,95.466824000,,
3399,96.463209000,,
3407,96.465864000,,
3411,96.466943000,,
3431,97.463926000,,
3439,97.466241000,,
3447,97.468677000,,
3464,98.463849000,,
3468,98.464908000,,
3476,98.467043000,,
3498,99.463589000,,
3506,99.465945000,,
3510,99.467043000,,
3531,100.463986000,,
3535,100.465265000,,
3547,100.469859000,,
3563,101.463169000,,
3571,101.465964000,,
3579,101.469680000,,
3595,102.463249000,,
3603,102.465645000,,
3611,102.468281000,,
3629,103.463509000,,
3633,103.464547000,,
3641,103.466803000,,
3661,104.463589000,,
3669,104.465985000,,
3677,104.468360000,,
3693,105.463749000,,
3701,105.466937000,,
3709,105.469753000,,
3726,106.464460000,,
3734,106.466836000,,
3738,106.468194000,,
3759,107.463509000,,
3767,107.465904000,,
3775,107.468100000,,
3791,108.463089000,,
3795,108.464387000,,
3807,108.467842000,,
3823,109.464360000,,
3831,109.467316000,,
3839,109.469913000,,
3857,110.463149000,,
3861,110.464227000,,
3869,110.466803000,,
3889,111.463069000,,
3893,111.464448000,,
3901,111.466943000,,
3922,112.463429000,,
3926,112.464508000,,
3930,112.465666000,,
3955,113.463926000,,
3963,113.466561000,,
3971,113.469857000,,
3987,114.463089000,,
3995,114.470139000,,
4003,114.473035000,,
4020,115.463809000,,
4024,115.464968000,,
4028,115.465986000,,
4053,116.463349000,,
4061,116.466482000,,
4069,116.469058000,,
4085,117.463129000,,
4093,117.465465000,,
4101,117.467680000,,
4119,118.463049000,,
4127,118.466065000,,
4131,118.467103000,,
4152,119.463149000,,
4160,119.465605000,,
4164,119.466824000,,
4184,120.463929000,,
4192,120.466106000,,
4196,120.467163000,,
4218,121.463409000,,
4222,121.464988000,,
4231,121.468434000,,
4236,121.472814000,,
4273,122.463329000,,
4281,122.465924000,,
4315,123.462452000,,
4328,123.466550000,,
4340,123.663512000,,
4364,124.464089000,,
4368,124.465307000,,
4384,124.663932000,,
4406,125.463329000,,
4410,125.464707000,,
4426,125.469203000,,
4447,126.464500000,,
4459,126.467817000,,
4463,126.468898000,,
4489,127.463349000,,
4493,127.464427000,,
4509,127.469163000,,
4533,128.463429000,,
4537,128.464627000,,
4557,128.664600000,,
4577,129.464169000,,
4585,129.466304000,,
4597,129.663832000,,
4621,130.464350000,,
4625,130.465368000,,
4633,130.467723000,,
4657,131.464120000,,
4669,131.467616000,,
4681,131.471265000,,
4701,132.465026000,,
4709,132.468461000,,
4721,132.663692000,,
4746,133.463089000,,
4754,133.466024000,,
4766,133.663612000,,
4786,134.463109000,,
4798,134.466785000,,
4802,134.467903000,,
4826,135.463349000,,
4834,135.465604000,,
4846,135.469200000,,
4870,136.463389000,,
4878,136.466004000,,
4890,136.663512000,,
4915,137.463069000,,
4923,137.466204000,,
4935,137.663832000,,
4959,138.464386000,,
4967,138.466741000,,
4979,138.470957000,,
5000,139.463329000,,
5016,139.473626000,,
5024,139.475727000,,
5044,140.463429000,,
5048,140.464827000,,
5064,140.663632000,,
5088,141.463509000,,
5092,141.464867000,,
5108,141.663892000,,
5132,142.464509000,,
5140,142.467065000,,
5144,142.468442000,,
5168,143.463489000,,
5180,143.466965000,,
5188,143.469349000,,
5213,144.463669000,,
5221,144.466304000,,
5233,144.663792000,,
5257,145.463969000,,
5265,145.466204000,,
5277,145.663472000,,
5300,146.463109000,,
5308,146.466821000,,
5320,146.470638000,,
5340,147.463089000,,
5348,147.465424000,,
5360,147.468840000,,
5384,148.464149000,,
5388,148.465287000,,
5392,148.466368000,,
5421,149.463249000,,
5429,149.465564000,,
5437,149.467803000,,
5466,150.463309000,,
5474,150.465564000,,
5490,150.664640000,,
5510,151.463069000,,
5514,151.464247000,,
5530,151.663912000,,
5551,152.463860000,,
5563,152.467476000,,
5571,152.469858000,,
5591,153.463229000,,
5599,153.465804000,,
5615,153.470369000,,
5635,154.464129000,,
5639,154.465187000,,
5655,154.663632000,,
5679,155.463209000,,
5687,155.466044000,,
5699,155.663592000,,
5724,156.464790000,,
5728,156.465948000,,
5736,156.468263000,,
5760,157.464500000,,
5768,157.467496000,,
5780,157.471212000,,
5805,158.463229000,,
5813,158.466144000,,
5825,158.663492000,,
5849,159.463409000,,
5857,159.465544000,,
5869,159.663572000,,
5889,160.463089000,,
5893,160.464207000,,
5905,160.467723000,,
5930,161.463389000,,
5938,161.465888000,,
5950,161.469122000,,
5975,162.464530000,,
5979,162.465588000,,
5991,162.469102000,,
6011,163.463169000,,
6019,163.466653000,,
6035,163.475717000,,
6057,164.463669000,,
6061,164.464747000,,
6077,164.663672000,,
6102,165.463149000,,
6110,165.465444000,,
6122,165.664012000,,
6142,166.464300000,,
6150,166.469173000,,
6162,166.475549000,,
6182,167.463389000,,
6190,167.465524000,,
6202,167.469280000,,
6222,168.464200000,,
6226,168.465318000,,
6246,168.471201000,,
6269,169.463789000,,
6277,169.466304000,,
6293,169.664940000,,
6313,170.463129000,,
6321,170.465824000,,
6333,170.663532000,,
6358,171.464349000,,
6366,171.466844000,,
6374,171.468945000,,
6400,172.464249000,,
6404,172.465447000,,
6408,172.466465000,,
6438,173.463209000,,
6446,173.465744000,,
6454,173.467983000,,
6483,174.464189000,,
6491,174.466264000,,
6503,174.663772000,,
6529,175.463729000,,
6537,175.466284000,,
6549,175.663752000,,
6569,176.463469000,,
6573,176.464667000,,
6581,176.466705000,,
6613,177.464290000,,
6621,177.467165000,,
6629,177.469480000,,
6653,178.464970000,,
6661,178.467285000,,
6669,178.469580000,,
6694,179.464130000,,
6702,179.466725000,,
6710,179.468880000,,
6731,180.463629000,,
6743,180.469763000,,
6747,180.471220000,,
6775,181.463489000,,
6779,181.464767000,,
6799,181.664900000,,
6821,182.463489000,,
6829,182.466244000,,
6841,182.663872000,,
6861,183.463409000,,
6865,183.464727000,,
6877,183.468043000,,
6901,184.464020000,,
6909,184.466636000,,
6925,184.472259000,,
6945,185.463769000,,
6949,185.465067000,,
6965,185.663512000,,
6990,186.463149000,,
6998,186.465704000,,
7010,186.663872000,,
7034,187.464749000,,
7038,187.466027000,,
7042,187.467048000,,
7070,188.463249000,,
7078,188.469758000,,
7090,188.475694000,,
7115,189.463269000,,
7119,189.464567000,,
7135,189.663932000,,
7159,190.463289000,,
7167,190.465884000,,
7179,190.663572000,,
7200,191.463089000,,
7208,191.466901000,,
7220,191.470497000,,
7240,192.463209000,,
7252,192.466665000,,
7260,192.469027000,,
7281,193.463269000,,
7293,193.466725000,,
7301,193.469032000,,
7327,194.463529000,,
7335,194.465744000,,
7351,194.664720000,,
7371,195.463429000,,
7379,195.465964000,,
7391,195.663832000,,
7415,196.464869000,,
7419,196.465907000,,
7423,196.466928000,,
7452,197.463249000,,
7460,197.465508000,,
7464,197.466786000,,
7498,198.463209000,,
7506,198.465744000,,
7522,198.664820000,,
7542,199.463489000,,
7550,199.466124000,,
7562,199.663672000,,
7582,200.463169000,,
7594,200.466726000,,
7598,200.467843000,,
7622,201.463549000,,
7634,201.467306000,,
7642,201.469501000,,
7668,202.464549000,,
7676,202.466825000,,
7680,202.467982000,,
7704,203.463629000,,
7716,203.469622000,,
7720,203.470782000,,
7749,204.463129000,,
7757,204.465944000,,
7769,204.663752000,,
7795,205.463429000,,
7799,205.464687000,,
7815,205.663552000,,
7839,206.464790000,,
7843,206.466108000,,
7851,206.468383000,,
7882,207.464810000,,
7886,207.465848000,,
7890,207.466945000,,
7922,208.464049000,,
7926,208.465087000,,
7942,208.663752000,,
7966,209.463129000,,
7974,209.466264000,,
7986,209.663552000,,
8006,210.464049000,,
8018,210.468837000,,
8026,210.471619000,,
8046,211.463089000,,
8058,211.466365000,,
8066,211.469026000,,
8087,212.463189000,,
8099,212.467146000,,
8103,212.468263000,,
8127,213.463449000,,
8139,213.468302000,,
8151,213.472150000,,
8173,214.463109000,,
8177,214.464427000,,
8193,214.663452000,,
8218,215.463229000,,
8222,215.464607000,,
8238,215.663952000,,
8259,216.463289000,,
8271,216.466825000,,
8279,216.469260000,,
8303,217.464789000,,
8311,217.467065000,,
8319,217.469400000,,
8342,218.463089000,,
8350,218.465124000,,
8366,218.470187000,,
8387,219.463429000,,
8395,219.467104000,,
8407,219.663952000,,
8431,220.463289000,,
8439,220.465704000,,
8451,220.663952000,,
8472,221.463249000,,
8480,221.468634000,,
8492,221.473590000,,
8513,222.464186000,,
8525,222.467762000,,
8533,222.470057000,,
8554,223.463349000,,
8562,223.466456000,,
8578,223.472720000,,
8599,224.463649000,,
8603,224.464887000,,
8623,224.664960000,,
8644,225.463549000,,
8652,225.466184000,,
8664,225.663932000,,
8684,226.463269000,,
8692,226.468221000,,
8700,226.470720000,,
8729,227.464530000,,
8737,227.467225000,,
8741,227.468303000,,
8768,228.463309000,,
8772,228.464487000,,
8788,228.469002000,,
8812,229.463589000,,
8820,229.466164000,,
8833,229.471397000,,
8853,230.463189000,,
8861,230.465505000,,
8869,230.467780000,,
8889,231.464460000,,
8897,231.467076000,,
8901,231.468214000,,
8925,232.464680000,,
8929,232.465899000,,
8941,232.470114000,,
8961,233.463089000,,
8965,233.464128000,,
8977,233.467882000,,
8997,234.463329000,,
9001,234.464387000,,
9013,234.467902000,,
9035,235.463109000,,
9043,235.465505000,,
9051,235.468100000,,
9071,236.463209000,,
9075,236.464468000,,
9079,236.465565000,,
9107,237.463089000,,
9115,237.465264000,,
9123,237.467840000,,
9144,238.463089000,,
9152,238.465564000,,
9156,238.466583000,,
9180,239.463069000,,
9188,239.468979000,,
9192,239.470077000,,
9216,240.463309000,,
9224,240.465765000,,
9228,240.466843000,,
9252,241.463529000,,
9260,241.465826000,,
9268,241.468181000,,
9293,242.468331000,,
9297,242.472329000,,
9301,242.474068000,,
9306,242.475736000,,
9342,243.463061000,,
9346,243.464359000,,
9358,243.467914000,,
9370,243.715588000,,
9406,244.463161000,,
9415,244.466100000,,
9427,244.469751000,,
9446,245.325249000,,
9462,245.462901000,,
9470,245.465456000,,
9478,245.467772000,,
9512,246.463909000,,
9520,246.465925000,,
9528,246.468100000,,
9549,247.463629000,,
9553,247.464747000,,
9565,247.468082000,,
9598,248.463980000,,
9606,248.467933000,,
9614,248.471409000,,
9637,249.463329000,,
9645,249.465664000,,
9653,249.469080000,,
9687,250.463329000,,
9695,250.465625000,,
9703,250.468020000,,
9724,251.463229000,,
9728,251.464448000,,
9736,251.466724000,,
9773,252.463129000,,
9781,252.465325000,,
9789,252.468121000,,
9812,253.463149000,,
9820,253.465705000,,
9824,253.466764000,,
9862,254.464760000,,
9870,254.467156000,,
9878,254.470492000,,
9900,255.463469000,,
9908,255.465885000,,
9916,255.468161000,,
9949,256.463609000,,
9957,256.465966000,,
9965,256.468181000,,
9988,257.463309000,,
9992,257.464447000,,
9996,257.465585000,,
10038,258.463700000,,
10046,258.465776000,,
10054,258.468533000,,
10075,259.463949000,,
10083,259.467057000,,
10091,259.470553000,,
10124,260.463749000,,
10132,260.467542000,,
10140,260.470998000,,
10163,261.464029000,,
10171,261.467417000,,
10179,261.469973000,,
10214,262.463149000,,
10218,262.464487000,,
10230,262.468082000,,
10251,263.463129000,,
10259,263.468979000,,
10267,263.473295000,,
10299,264.463289000,,
10307,264.466942000,,
10315,264.469938000,,
10338,265.463189000,,
10346,265.465444000,,
10350,265.466623000,,
10388,266.464080000,,
10396,266.466696000,,
10404,266.469052000,,
10427,267.463229000,,
10435,267.465585000,,
10443,267.468161000,,
10478,268.463389000,,
10482,268.464487000,,
10486,268.465685000,,
10518,269.463469000,,
10526,269.465744000,,
10530,269.467063000,,
10567,270.463389000,,
10575,270.465825000,,
10583,270.468001000,,
10604,271.463549000,,
10612,271.466045000,,
10616,271.467063000,,
10652,272.463609000,,
10660,272.465705000,,
10668,272.468121000,,
10696,273.463289000,,
10704,273.465725000,,
10708,273.467063000,,
10746,274.463829000,,
10754,274.465924000,,
10758,274.466963000,,
10783,275.463329000,,
10787,275.464388000,,
10799,275.467823000,,
